Rank,Journal/Zeitschrift,Rating,JQ2 Quality Index
233,Geneva Risk and Insurance Review (formerly: Geneva Papers on Risk and Insurance Theory),C,6.9023022475
234,Quantitative Finance,C,6.8917141831
235,Applied Mathematical Finance,C,6.8910087488
236,Kredit und Kapital,C,6.890861653
237,Organizational Dynamics,C,6.8832521953
238,Optimization,C,6.8829454106
239,Proceedings of the Conference on Advanced Information Systems Engineering (CAISE),C,6.8723592666
240,International Journal of Logistics: Research and Applications,C,6.8721624105
241,"Gender, Work and Organization",C,6.8667158624
242,Proceedings of the International Conference on Business Process Management (BPM),C,6.8594391686
243,Management International Review MIR,C,6.859265106
244,Review of World Economics/Weltwirtschaftliches Archiv (formerly: Weltwirtschaftliches Archiv/Review of World Economics; Weltwirtschaftliches Archiv),C,6.8529394796
245,Electronic Markets,C,6.8487486072
246,Information Systems,C,6.8363322701
247,International Journal of Services Technology and Management,C,6.8201067992
248,Journal of Computer Mediated Communication (JCMC),C,6.8122192458
249,Journal of CrossCultural Psychology,C,6.8086365629
250,Journal of Managerial Issues,C,6.80765603
251,"Financial Markets, Institutions and Instruments",C,6.8007127584
252,Financial Management,C,6.7998995663
253,Australian Accounting Review,C,6.7938240842
254,Journal of Financial Research,C,6.7937652709
255,Marketing. Zeitschrift für Forschung und Praxis (Marketing ZFP),C,6.7878265987
256,Information and Organization,C,6.7877813747
257,International Journal of Forecasting,C,6.7761346086
258,Journal of Financial Services Research,C,6.7756946037
259,European Journal of Finance,C,6.7748034282
260,British Journal of Healthcare Management,C,6.7703005413
261,Journal of International Accounting Auditing and Taxation,C,6.7675889931
262,Accounting Horizons,C,6.7610631437
263,International Journal of Nonprofit and Voluntary Sector Marketing,C,6.7440270936
264,Research in Personnel and HRM,C,6.7429728257
265,Zeitschrift für Personalforschung (ZfP),C,6.7405732061
266,Data and Knowledge Engineering,C,6.7314316323
267,Tagungsbände der Wirtschaftsinformatik (WI),C,6.7268728281
268,Scandinavian Journal of Management,C,6.7181906264
269,Information and Management,C,6.7132834485
270,Applied Psychology. An International Review,C,6.7127746041
271,Journal of Personal Selling and Sales Management,C,6.7085203301
272,Die Betriebswirtschaft (DBW),C,6.7033375823
273,Flexible Services and Manufacturing Journal (formerly: International Journal of Flexible Manufacturing Systems),C,6.6940642666
274,Journal of Portfolio Management,C,6.6928145125
275,Journal of Applied Accounting Research,C,6.6913324469
276,Financial Markets and Portfolio Management (formerly: Finanzmarkt und Portfolio Management),C,6.6781785936
277,Marketing Theory,C,6.6766276242
